iter	MultiClass
0	1.288244707
1	1.209437536
2	1.149221545
3	1.10130052
4	1.059391897
5	1.020158054
6	0.985906025
7	0.9600121134
8	0.9320768058
9	0.9129956279
10	0.8913903847
11	0.8701775001
12	0.8522991764
13	0.838290602
14	0.8245861869
15	0.8092151646
16	0.7970416914
17	0.7889762774
18	0.7813127454
19	0.7703905071
20	0.7626253833
21	0.7553193308
22	0.7492051927
23	0.7405276546
24	0.7354624609
25	0.727212371
26	0.7192749069
27	0.7105202085
28	0.7025232506
29	0.6983888831
30	0.6898739623
31	0.6855645392
32	0.6812563097
33	0.6766722689
34	0.6757555123
35	0.672504845
36	0.6689533491
37	0.6665333108
38	0.6628064046
39	0.6581192417
40	0.6566108593
41	0.6504939812
42	0.6475737471
43	0.6452267579
44	0.6425849217
45	0.6402107142
46	0.6367680037
47	0.634971573
48	0.6323445794
49	0.6292904962
50	0.6267451223
51	0.6223261608
52	0.6177733513
53	0.6139139757
54	0.6108290132
55	0.6066159571
56	0.6053466147
57	0.602260082
58	0.5992574838
59	0.5966640014
60	0.5947877372
61	0.5925416653
62	0.5901328677
63	0.5882816681
64	0.5865835093
65	0.5850139752
66	0.582869664
67	0.579918466
68	0.5777400887
69	0.5767317225
70	0.5739049833
71	0.5704830455
72	0.5688012671
73	0.5677404931
74	0.5658739842
75	0.5647547634
76	0.5626178023
77	0.559744794
78	0.5576208335
79	0.554244256
80	0.5532539536
81	0.5516057997
82	0.5499216731
83	0.5486742178
84	0.5469574955
85	0.5447201677
86	0.5441515658
87	0.5429724048
88	0.5416977814
89	0.539449904
90	0.5372946512
91	0.5351087797
92	0.5329069495
93	0.5315106199
94	0.530449745
95	0.5294171028
96	0.5283390633
97	0.5271844181
98	0.5257848128
99	0.5236436743
100	0.5220434073
101	0.5211943021
102	0.5199502993
103	0.5182499247
104	0.5170893644
105	0.5153869502
106	0.5138372487
107	0.5125945311
108	0.5115089756
109	0.5100039655
110	0.5088780773
111	0.5069972257
112	0.5060212909
113	0.5038927492
114	0.5022271971
115	0.5008213773
116	0.4992637845
117	0.4985014847
118	0.4968602223
119	0.4955041945
120	0.4940800647
121	0.4932811589
122	0.4921776453
123	0.4907653416
124	0.4897033756
125	0.4891341896
126	0.4884533929
127	0.4876543253
128	0.486589401
129	0.4855921651
130	0.4850055502
131	0.4844454184
132	0.4833399613
133	0.4820257142
134	0.4807534814
135	0.4794711313
136	0.4782949085
137	0.4774797102
138	0.4765763437
139	0.4756247369
140	0.4749469076
141	0.4745981422
142	0.4740867125
143	0.4733326313
144	0.4725224066
145	0.4719307411
146	0.4713640238
147	0.4705150103
148	0.4697784134
149	0.4693294917
150	0.4688359119
151	0.4685416564
152	0.4680807043
153	0.4675529381
154	0.4668330294
155	0.4658246686
156	0.4650242121
157	0.4644359562
158	0.4638666873
159	0.4628780805
160	0.4616843105
161	0.4611840578
162	0.4601144196
163	0.4594723816
164	0.4584295456
165	0.4578095357
166	0.4571022091
167	0.4560141169
168	0.45563319
169	0.4546523522
170	0.453548926
171	0.4523132233
172	0.4515960545
173	0.4508457528
174	0.4502274961
175	0.4495222174
176	0.4481196051
177	0.4475294223
178	0.4469244544
179	0.4461407475
180	0.4453579878
181	0.444626025
182	0.4440070596
183	0.4433705466
184	0.4427406572
185	0.4423355469
186	0.4416081582
187	0.4409349318
188	0.4403498499
189	0.4395446683
190	0.4389989649
191	0.4380820145
192	0.4371807975
193	0.43679137
194	0.4360431743
195	0.4352291288
196	0.4347314118
197	0.433944955
198	0.4333643201
199	0.4331384168
200	0.4326466411
201	0.4323230161
202	0.4314769428
203	0.4306834112
204	0.4301486283
205	0.4295827008
206	0.4287941728
207	0.4284174326
208	0.4275110606
209	0.4268689423
210	0.4263663536
211	0.4257113393
212	0.4252594184
213	0.4250139021
214	0.424416523
215	0.4239421763
216	0.4233737395
217	0.4229057894
218	0.4225783291
219	0.421832405
220	0.4212570751
221	0.420796959
222	0.4202866137
223	0.4195224116
224	0.4190142469
225	0.418224018
226	0.4175956703
227	0.4167816034
228	0.416686755
229	0.4160111277
230	0.4154469611
231	0.4145109492
232	0.4132837075
233	0.4126590869
234	0.4118895326
235	0.4115457671
236	0.4110806491
237	0.4107618966
238	0.410264015
239	0.4100507517
240	0.4097231234
241	0.4094126977
242	0.4085899198
243	0.4081394126
244	0.4076275428
245	0.4067528038
246	0.4054554308
247	0.4048881564
248	0.4041146051
249	0.4035551973
250	0.4030885406
251	0.402588419
252	0.4022237282
253	0.4018082819
254	0.401157256
255	0.4007004394
256	0.4003933043
257	0.3996940731
258	0.3991660574
259	0.3987556191
260	0.3984599184
261	0.3978898815
262	0.3974066983
263	0.3969607818
264	0.3960994555
265	0.3954822495
266	0.3951094652
267	0.3943041222
268	0.3936795522
269	0.3934445715
270	0.3930701348
271	0.3926511432
272	0.3922031338
273	0.3918427569
274	0.3912679476
275	0.3910690007
276	0.3907092299
277	0.3902280884
278	0.3899647761
279	0.3898248787
280	0.38938201
281	0.3887290944
282	0.3882510049
283	0.3876341888
284	0.3869709885
285	0.3865560498
286	0.3858825297
287	0.3852661911
288	0.3847664019
289	0.3844380829
290	0.3841217026
291	0.3836254053
292	0.3830064218
293	0.3826494568
294	0.3823294996
295	0.3819286527
296	0.3813886237
297	0.3810493879
298	0.3807726589
299	0.3803272854
