iter	Passed	Remaining
0	156	46934
1	184	27447
2	208	20652
3	229	16985
4	248	14663
5	267	13122
6	287	12019
7	305	11134
8	322	10432
9	340	9868
10	359	9447
11	387	9289
12	404	8922
13	428	8747
14	449	8544
15	468	8317
16	504	8391
17	519	8133
18	552	8164
19	569	7970
20	585	7775
21	601	7605
22	619	7456
23	638	7343
24	660	7265
25	678	7150
26	697	7050
27	713	6927
28	728	6806
29	742	6681
30	750	6509
31	765	6413
32	781	6319
33	836	6544
34	864	6543
35	898	6588
36	924	6573
37	950	6554
38	977	6541
39	998	6487
40	1019	6439
41	1032	6343
42	1052	6289
43	1074	6250
44	1169	6626
45	1193	6588
46	1214	6538
47	1235	6485
48	1253	6423
49	1276	6383
50	1298	6337
51	1317	6283
52	1336	6230
53	1356	6180
54	1375	6129
55	1397	6090
56	1417	6043
57	1438	6003
58	1458	5958
59	1475	5903
60	1493	5850
61	1510	5799
62	1529	5753
63	1546	5703
64	1565	5660
65	1584	5617
66	1606	5587
67	1625	5546
68	1656	5545
69	1687	5545
70	1704	5498
71	1723	5457
72	1740	5412
73	1761	5380
74	1807	5421
75	1825	5379
76	1845	5345
77	1865	5310
78	1886	5277
79	1905	5240
80	1928	5214
81	1947	5177
82	1965	5138
83	1982	5097
84	1999	5058
85	2015	5015
86	2032	4975
87	2048	4936
88	2065	4896
89	2097	4893
90	2116	4860
91	2134	4825
92	2154	4795
93	2173	4763
94	2193	4733
95	2213	4702
96	2231	4669
97	2249	4636
98	2266	4601
99	2285	4570
100	2302	4535
101	2318	4501
102	2334	4465
103	2350	4430
104	2366	4394
105	2383	4362
106	2401	4331
107	2420	4302
108	2439	4275
109	2458	4246
110	2477	4218
111	2494	4187
112	2511	4156
113	2528	4125
114	2544	4093
115	2561	4063
116	2578	4032
117	2595	4002
118	2612	3973
119	2636	3955
120	2658	3932
121	2677	3906
122	2696	3880
123	2714	3853
124	2731	3823
125	2747	3794
126	2764	3765
127	2780	3736
128	2797	3708
129	2813	3678
130	2830	3651
131	2847	3624
132	2866	3598
133	2885	3574
134	2906	3552
135	2923	3525
136	2942	3501
137	2960	3475
138	2977	3448
139	2993	3421
140	3008	3392
141	3023	3364
142	3038	3336
143	3054	3308
144	3070	3282
145	3087	3257
146	3105	3232
147	3123	3207
148	3141	3184
149	3161	3161
150	3180	3138
151	3200	3116
152	3219	3093
153	3238	3070
154	3255	3045
155	3272	3020
156	3289	2996
157	3307	2972
158	3323	2947
159	3342	2924
160	3359	2900
161	3376	2876
162	3392	2851
163	3408	2826
164	3426	2803
165	3443	2779
166	3462	2757
167	3479	2734
168	3499	2712
169	3517	2689
170	3533	2665
171	3549	2641
172	3564	2616
173	3580	2592
174	3595	2568
175	3610	2543
176	3624	2518
177	3639	2494
178	3658	2472
179	3676	2450
180	3695	2429
181	3725	2415
182	3745	2394
183	3763	2372
184	3779	2349
185	3795	2326
186	3811	2302
187	3827	2280
188	3842	2256
189	3859	2234
190	3874	2211
191	3890	2188
192	3907	2166
193	3927	2145
194	3944	2123
195	3964	2103
196	3981	2081
197	3999	2060
198	4016	2038
199	4037	2018
200	4054	1997
201	4105	1991
202	4123	1970
203	4141	1948
204	4158	1927
205	4176	1905
206	4194	1884
207	4213	1863
208	4232	1842
209	4250	1821
210	4268	1800
211	4284	1778
212	4300	1756
213	4316	1734
214	4332	1712
215	4349	1691
216	4366	1670
217	4384	1649
218	4401	1627
219	4416	1605
220	4432	1584
221	4448	1562
222	4465	1541
223	4483	1521
224	4500	1500
225	4518	1479
226	4535	1458
227	4554	1438
228	4571	1417
229	4586	1395
230	4601	1374
231	4617	1353
232	4634	1332
233	4649	1311
234	4665	1290
235	4682	1269
236	4699	1249
237	4715	1228
238	4733	1208
239	4752	1188
240	4771	1168
241	4790	1148
242	4808	1127
243	4826	1107
244	4843	1087
245	4859	1066
246	4876	1046
247	4892	1025
248	4910	1005
249	4929	985
250	4945	965
251	4967	946
252	4986	926
253	5005	906
254	5024	886
255	5048	867
256	5103	853
257	5123	834
258	5141	813
259	5159	793
260	5176	773
261	5193	753
262	5212	733
263	5231	713
264	5249	693
265	5267	673
266	5300	655
267	5359	639
268	5383	620
269	5403	600
270	5425	580
271	5445	560
272	5479	541
273	5505	522
274	5530	502
275	5549	482
276	5565	462
277	5581	441
278	5596	421
279	5611	400
280	5626	380
281	5641	360
282	5656	339
283	5671	319
284	5685	299
285	5702	279
286	5721	259
287	5737	239
288	5756	219
289	5776	199
290	5795	179
291	5814	159
292	5832	139
293	5853	119
294	5872	99
295	5891	79
296	5910	59
297	5931	39
298	5950	19
299	5969	0
